pkg,depends
adlplug-lv2,libx11
adlplug-lv2,libxext
adlplug-lv2,lv2-host
adlplug-standalone,fmt
adlplug-standalone,freetype2
adlplug-standalone,gcc-libs
adlplug-standalone,glibc
adlplug-standalone,hicolor-icon-theme
adlplug-standalone,jack
adlplug-standalone,liblo
adlplug-standalone,libx11
adlplug-standalone,libxext
adlplug-vst,fmt
adlplug-vst,freetype2
adlplug-vst,gcc-libs
adlplug-vst,glibc
adlplug-vst,libx11
adlplug-vst,libxext
adlplug-vst,vst-host
adns,glibc
adriconf,gtkmm-4.0
adriconf,pciutils
adriconf,pugixml
adsb_deku,gcc-libs
adsb_deku,dump1090_rs
adwaita-icon-theme,adwaita-icon-theme-legacy
adwaita-icon-theme,hicolor-icon-theme
adwaita-icon-theme,adwaita-cursors
adwaita-icon-theme-legacy,hicolor-icon-theme
aegisub,alsa-lib
aegisub,boost-libs
aegisub,fftw
aegisub,fontconfig
aegisub,hunspell
aegisub,icu
aegisub,libass.so
aegisub,libffms2.so
aegisub,libgl
aegisub,libpulse
aegisub,uchardet
aegisub,wxwidgets-gtk3
aegisub,zlib
aeolus,gcc-libs
aeolus,glibc
aeolus,libx11
aeolus,alsa-lib
aeolus,libasound.so
aeolus,clthreads
aeolus,libclthreads.so
aeolus,clxclient
aeolus,libclxclient.so
aeolus,jack
aeolus,libjack.so
aeolus,readline
aeolus,libreadline.so
aeolus,zita-alsa-pcmi
aeolus,libzita-alsa-pcmi.so
aerc,gawk
aerc,glibc
aerc,notmuch-runtime
afew,notmuch
afew,python-chardet
afew,python-dkim
afew,python-setuptools
afl++,bash
afl++,clang
afl++,compiler-rt
afl++,gcc-libs
afl++,glibc
afl++,lld
afl++,llvm
afl++,python
afl-utils,afl
afl-utils,coreutils
afl-utils,python
afl-utils,rsync
afpfs-ng,gmp
afpfs-ng,fuse
afpfs-ng,libgcrypt
agda,ghc-libs
agda,ghc
agda,haskell-stmonadtrans
agda,haskell-aeson
agda,haskell-ansi-terminal
agda,haskell-async
agda,haskell-blaze-html
agda,haskell-boxes
agda,haskell-case-insensitive
agda,haskell-cpphs
agda,haskell-data-hash
agda,haskell-dlist
agda,haskell-edit-distance
agda,haskell-equivalence
agda,haskell-gitrev
agda,haskell-hashable
agda,haskell-monad-control
agda,haskell-murmur-hash
agda,haskell-parallel
agda,haskell-peano
agda,haskell-regex-tdfa
agda,haskell-split
agda,haskell-strict
agda,haskell-time-compat
agda,haskell-unordered-containers
agda,haskell-uri-encode
agda,haskell-vector
agda,haskell-vector-hashtables
agda,haskell-zlib
agda,haskell-text-icu
