pkg,checkdepends
haskell-math-functions,haskell-tasty
haskell-math-functions,haskell-tasty-hunit
haskell-math-functions,haskell-tasty-quickcheck
haskell-math-functions,haskell-vector-th-unbox
haskell-mockery,haskell-hspec
haskell-mutable-containers,haskell-quickcheck
haskell-mutable-containers,haskell-hspec
haskell-mwc-random,haskell-doctest
haskell-mwc-random,haskell-quickcheck
haskell-mwc-random,haskell-tasty
haskell-mwc-random,haskell-tasty-hunit
haskell-mwc-random,haskell-tasty-quickcheck
haskell-mysql,mariadb
haskell-mysql-simple,mariadb
haskell-nanospec,haskell-hspec
haskell-nanospec,haskell-silently
haskell-network-uri,haskell-quickcheck
haskell-network-uri,haskell-hunit
haskell-network-uri,haskell-tasty
