package,provides
"fltk","libfltk.so=1.3-64"
"fltk","libfltk_forms.so=1.3-64"
"fltk","libfltk_gl.so=1.3-64"
"fltk","libfltk_images.so=1.3-64"
"fluidsynth","libfluidsynth.so=3-64"
"fluidsynth","soundfont-synthesizer"
"fmt","libfmt.so=11-64"
"folks","libfolks-dummy.so=26-64"
"folks","libfolks-eds.so=26-64"
"folks","libfolks.so=26-64"
"fontconfig","fontconfig-docs"
"fontconfig","libfontconfig.so=1-64"
"foomatic-db","foomatic-db-foo2zjs"
"freeglut","glut"
"freerdp","libfreerdp-client3.so=3-64"
"freerdp","libfreerdp-server-proxy3.so=3-64"
"freerdp","libfreerdp-server3"
"freerdp","libfreerdp-shadow-subsystem3.so=3-64"
"freerdp","libfreerdp-shadow3.so=3-64"
"freerdp","libfreerdp3.so=3-64"
"freerdp","libwinpr-tools3.so=3-64"
"freerdp","libwinpr3.so=3-64"
"freerdp2","libfreerdp-client2.so=2-64"
"freerdp2","libfreerdp-server2"
"freerdp2","libfreerdp-shadow-subsystem2.so=2-64"
"freerdp2","libfreerdp-shadow2.so=2-64"
"freerdp2","libfreerdp2.so=2-64"
"freerdp2","libuwac0.so=0-64"
"freerdp2","libwinpr-tools2.so=2-64"
"freerdp2","libwinpr2.so=2-64"
"freetype2","libfreetype.so=6-64"
"freeverb3","libfreeverb3.so=3-64"
"fribidi","libfribidi.so=0-64"
"frotz-dumb","dfrotz"
"frotz-ncurses","frotz"
"frotz-sdl","sfrotz"
"ftjam","jam"
"fuse2","fuse=2.9.9"
"futuresql","futuresql-qt6"
"fwupd","libfwupd.so=3-64"
"gala","libgala.so=0-64"
"gambas3-gb-compress","gambas3-gb-compress-bzlib2"
"gambas3-gb-compress","gambas3-gb-compress-zlib"
"gambas3-gb-compress","gambas3-gb-compress-zstd"
"gambas3-gb-dbus","gambas3-gb-dbus-trayicon"
"gambas3-gb-gtk3","gambas3-gui"
"gambas3-gb-qt5","gambas3-gui"
"gambas3-gb-report","gambas3-gb-report2=3.19.5"
"gambas3-gb-term","gambas3-gb-term-form=3.19.5"
"gambas3-runtime","gambas3-gb-jit"
"gamemode","libgamemode.so=0-64"
"gamemode","libgamemodeauto.so=0-64"
"gap-packages","gap-4ti2interface=2023.02.04"
"gap-packages","gap-ace=5.6.2"
"gap-packages","gap-aclib=1.3.2"
"gap-packages","gap-agt=0.3.1"
"gap-packages","gap-anupq=3.3.0"
"gap-packages","gap-automata=1.15"
"gap-packages","gap-automgrp=1.3.2"
"gap-packages","gap-browse=1.8.21"
"gap-packages","gap-cap=2024.06.02"
"gap-packages","gap-caratinterface=2.3.6"
"gap-packages","gap-cddinterface=2022.11.01"
"gap-packages","gap-circle=1.6.6"
"gap-packages","gap-classicpres=1.22"
"gap-packages","gap-cohomolo=1.6.11"
"gap-packages","gap-congruence=1.2.6"
"gap-packages","gap-corelg=1.56"
"gap-packages","gap-crime=1.6"
"gap-packages","gap-crypting=0.10.4"
"gap-packages","gap-cryst=4.1.27"
"gap-packages","gap-crystcat=1.1.10"
"gap-packages","gap-cubefree=1.19"
"gap-packages","gap-curlinterface=2.3.2"
"gap-packages","gap-cvec=2.8.1"
"gap-packages","gap-datastructures=0.3.0"
"gap-packages","gap-deepthought=1.0.6"
"gap-packages","gap-design=1.8"
"gap-packages","gap-difsets=2.3.1"
"gap-packages","gap-digraphs=1.7.1"
"gap-packages","gap-edim=1.3.8"
"gap-packages","gap-example=4.3.4"
"gap-packages","gap-examplesforhomalg=2023.10.01"
"gap-packages","gap-ferret=1.0.11"
"gap-packages","gap-fining=1.5.6"
"gap-packages","gap-float=1.0.4"
"gap-packages","gap-format=1.4.4"
"gap-packages","gap-forms=1.2.11"
"gap-packages","gap-fplsa=1.2.6"
"gap-packages","gap-fr=2.4.13"
"gap-packages","gap-francy=2.0.3"
"gap-packages","gap-fwtree=1.3"
"gap-packages","gap-gauss=2023.02.04"
"gap-packages","gap-gaussforhomalg=2023.11.01"
"gap-packages","gap-gbnp=1.0.5"
"gap-packages","gap-generalizedmorphismsforcap=2024.04.01"
"gap-packages","gap-genss=1.6.8"
"gap-packages","gap-gradedmodules=2024.01.01"
"gap-packages","gap-gradedringforhomalg=2023.08.01"
"gap-packages","gap-grape=4.9.0"
"gap-packages","gap-groupoids=1.74"
"gap-packages","gap-grpconst=2.6.5"
"gap-packages","gap-guarana=0.96.3"
"gap-packages","gap-guava=3.19"
"gap-packages","gap-hap=1.62"
"gap-packages","gap-hapcryst=0.1.15"
"gap-packages","gap-hecke=1.5.3"
"gap-packages","gap-help=4.0"
"gap-packages","gap-homalg=2024.01.01"
"gap-packages","gap-homalgtocas=2023.11.01"
"gap-packages","gap-idrel=2.47"
"gap-packages","gap-images=1.3.2"
"gap-packages","gap-intpic=0.3.0"
"gap-packages","gap-io=4.8.2"
"gap-packages","gap-io_forhomalg=2023.02.04"
"gap-packages","gap-itc=1.5.1"
"gap-packages","gap-json=2.2.1"
"gap-packages","gap-jupyterkernel=1.5.0"
"gap-packages","gap-jupyterviz=1.5.6"
"gap-packages","gap-kan=1.37"
"gap-packages","gap-kbmag=1.5.11"
"gap-packages","gap-liealgdb=2.2.1"
"gap-packages","gap-liepring=2.9.1"
"gap-packages","gap-liering=2.4.2"
"gap-packages","gap-linearalgebraforcap=2024.06.01"
"gap-packages","gap-lins=0.9"
"gap-packages","gap-localizeringforhomalg=2023.10.01"
"gap-packages","gap-loops=3.4.3"
"gap-packages","gap-lpres=1.0.3"
"gap-packages","gap-majoranaalgebras=1.5.1"
"gap-packages","gap-mapclass=1.4.6"
"gap-packages","gap-matgrp=0.70"
