package,conflicts
"libreoffice-fresh-uk","libreoffice-uk"
"libreoffice-fresh-uz","libreoffice-uz"
"libreoffice-fresh-ve","libreoffice-ve"
"libreoffice-fresh-vec","libreoffice-vec"
"libreoffice-fresh-vi","libreoffice-vi"
"libreoffice-fresh-xh","libreoffice-xh"
"libreoffice-fresh-zh-cn","libreoffice-zh-CN"
"libreoffice-fresh-zh-tw","libreoffice-zh-TW"
"libreoffice-fresh-zu","libreoffice-zu"
"libreoffice-fresh","libreoffice-still"
"libreoffice-still-af","libreoffice-af"
"libreoffice-still-am","libreoffice-am"
"libreoffice-still-ar","libreoffice-ar"
"libreoffice-still-as","libreoffice-as"
"libreoffice-still-ast","libreoffice-ast"
"libreoffice-still-be","libreoffice-be"
"libreoffice-still-bg","libreoffice-bg"
"libreoffice-still-bn-in","libreoffice-bn-IN"
"libreoffice-still-bn","libreoffice-bn"
"libreoffice-still-bo","libreoffice-bo"
"libreoffice-still-br","libreoffice-br"
"libreoffice-still-brx","libreoffice-brx"
"libreoffice-still-bs","libreoffice-bs"
"libreoffice-still-ca-valencia","libreoffice-ca-valencia"
"libreoffice-still-ca","libreoffice-ca"
"libreoffice-still-ckb","libreoffice-ckb"
"libreoffice-still-cs","libreoffice-cs"
"libreoffice-still-cy","libreoffice-cy"
"libreoffice-still-da","libreoffice-da"
"libreoffice-still-de","libreoffice-de"
"libreoffice-still-dgo","libreoffice-dgo"
"libreoffice-still-dsb","libreoffice-dsb"
"libreoffice-still-dz","libreoffice-dz"
"libreoffice-still-el","libreoffice-el"
"libreoffice-still-en-gb","libreoffice-en-GB"
"libreoffice-still-en-za","libreoffice-en-ZA"
"libreoffice-still-eo","libreoffice-eo"
"libreoffice-still-es","libreoffice-es"
"libreoffice-still-et","libreoffice-et"
"libreoffice-still-eu","libreoffice-eu"
"libreoffice-still-fa","libreoffice-fa"
"libreoffice-still-fi","libreoffice-fi"
"libreoffice-still-fr","libreoffice-fr"
"libreoffice-still-fur","libreoffice-fur"
"libreoffice-still-fy","libreoffice-fy"
"libreoffice-still-ga","libreoffice-ga"
"libreoffice-still-gd","libreoffice-gd"
"libreoffice-still-gl","libreoffice-gl"
"libreoffice-still-gu","libreoffice-gu"
"libreoffice-still-gug","libreoffice-gug"
"libreoffice-still-he","libreoffice-he"
"libreoffice-still-hi","libreoffice-hi"
"libreoffice-still-hr","libreoffice-hr"
"libreoffice-still-hsb","libreoffice-hsb"
"libreoffice-still-hu","libreoffice-hu"
"libreoffice-still-id","libreoffice-id"
"libreoffice-still-is","libreoffice-is"
"libreoffice-still-it","libreoffice-it"
"libreoffice-still-ja","libreoffice-ja"
"libreoffice-still-ka","libreoffice-ka"
"libreoffice-still-kab","libreoffice-kab"
"libreoffice-still-kk","libreoffice-kk"
"libreoffice-still-km","libreoffice-km"
"libreoffice-still-kmr-latn","libreoffice-kmr-Latn"
"libreoffice-still-kn","libreoffice-kn"
"libreoffice-still-ko","libreoffice-ko"
"libreoffice-still-kok","libreoffice-kok"
"libreoffice-still-ks","libreoffice-ks"
"libreoffice-still-lb","libreoffice-lb"
"libreoffice-still-lo","libreoffice-lo"
"libreoffice-still-lt","libreoffice-lt"
"libreoffice-still-lv","libreoffice-lv"
"libreoffice-still-mai","libreoffice-mai"
"libreoffice-still-mk","libreoffice-mk"
"libreoffice-still-ml","libreoffice-ml"
"libreoffice-still-mn","libreoffice-mn"
"libreoffice-still-mni","libreoffice-mni"
"libreoffice-still-mr","libreoffice-mr"
"libreoffice-still-my","libreoffice-my"
"libreoffice-still-nb","libreoffice-nb"
"libreoffice-still-ne","libreoffice-ne"
"libreoffice-still-nl","libreoffice-nl"
"libreoffice-still-nn","libreoffice-nn"
"libreoffice-still-nr","libreoffice-nr"
"libreoffice-still-nso","libreoffice-nso"
"libreoffice-still-oc","libreoffice-oc"
"libreoffice-still-om","libreoffice-om"
"libreoffice-still-or","libreoffice-or"
"libreoffice-still-pa-in","libreoffice-pa-IN"
"libreoffice-still-pl","libreoffice-pl"
"libreoffice-still-pt-br","libreoffice-pt-BR"
"libreoffice-still-pt","libreoffice-pt"
"libreoffice-still-ro","libreoffice-ro"
"libreoffice-still-ru","libreoffice-ru"
"libreoffice-still-rw","libreoffice-rw"
"libreoffice-still-sa-in","libreoffice-sa-IN"
"libreoffice-still-sat","libreoffice-sat"
"libreoffice-still-sd","libreoffice-sd"
