package,replaces
"localsearch","tracker3-miners<=3.7.3-2"
"lrcalc","lrcalc1"
"lua-luarepl","lua-repl"
"lua-luautf8","lua-utf8"
"lua-std-debug","lua-std-_debug"
"lua51-expat","luaexpat"
"lua51-luarepl","lua51-repl"
"lua51-luautf8","lua51-utf8"
"lua51-sec","luasec"
"lua51-socket","luasocket"
"lua51-std-debug","lua51-std-_debug"
"lua52-luarepl","lua52-repl"
"lua52-luautf8","lua52-utf8"
"lua52-std-debug","lua52-std-_debug"
"lua53-luarepl","lua53-repl"
"lua53-luautf8","lua53-utf8"
"lua53-sdl2","lua-sdl2"
"lua53-std-debug","lua53-std-_debug"
"luarocks","luarocks5.1"
"luarocks","luarocks5.2"
"luit","xorg-luit"
"lxmusic","lxmusic-gtk3"
"lxqt-themes","lxqt-common"
"lxsession","lxpolkit"
"lxterminal","lxterminal-gtk3"
"lychee","lychee-link-checker"
"lychee","lychee-rs"
"magma-cuda","magma"
"magma-hip","hipmagma"
"mailcap","mime-types"
"mailman3-hyperkitty","python-mailman-hyperkitty-plugin"
"mailman3","mailman-core"
"mame","sdlmame"
"man-db","man"
"mangohud","mangoapp"
"mangohud","mangohud-common"
"mangohud","mangohud-common-wayland"
"mangohud","mangohud-common-x11"
"mangohud","mangohud-wayland"
"mangohud","mangohud-x11"
"marco","marco-gtk3"
"mariadb-libs","libmariadbclient"
"markdownlint","ruby-mdl"
"master_me-standalone","master_me-jack"
"mate-applets","mate-applets-gtk3"
"mate-applets","mate-netspeed"
"mate-applets","mate-netspeed-gtk3"
"mate-control-center","mate-control-center-gtk3"
"mate-desktop","mate-desktop-gtk3"
"mate-desktop","mate-desktop-schemas"
"mate-media","mate-media-gtk3"
"mate-netbook","mate-netbook-gtk3"
"mate-notification-daemon","mate-notification-daemon-gtk3"
"mate-panel","mate-panel-gtk3"
"mate-polkit","mate-polkit-gtk3"
"mate-screensaver","mate-screensaver-gtk3"
"mate-session-manager","mate-session-manager-gtk3"
"mate-settings-daemon","mate-settings-daemon-gtk3"
"mate-system-monitor","mate-system-monitor-gtk3"
"mate-terminal","mate-terminal-gtk3"
"mate-user-share","mate-user-share-gtk3"
"mate-utils","mate-utils-gtk3"
"materia-gtk-theme","materia-theme"
"maxima","maxima-ecl<5.45.1-9"
"mbedtls","polarssl"
"mdadm","raidtools"
"med-openmpi","med"
"mediathekview","mediathek"
"merkuro","kalendar"
"mesa","libva-mesa-driver<1:24.2.7-1"
"mesa","mesa-libgl<17.0.1-2"
"mesa","mesa-vdpau<1:24.2.7-1"
"mingw-w64-winpthreads","mingw-w64-headers-bootstrap"
"mitmproxy","pathod"
"molecule-plugins","molecule-containers"
"molecule-plugins","molecule-docker"
"molecule-plugins","molecule-podman"
"molecule-plugins","molecule-vagrant"
"mongo-c-driver","libbson"
"mongo-c-driver","libmongoc"
"monitoring-plugins","nagios-plugins"
"moosefs","mfs-chunkserver"
"moosefs","mfs-client"
"moosefs","mfs-master"
"moreutils","moreutils-svn"
"mozo","mozo-gtk3"
"mumble-server","murmur<1.5"
"mygui","mygui-docs"
"ncurses","alacritty-terminfo"
"ncurses","rio-terminfo"
"ncurses","wezterm-terminfo"
"networkmanager-l2tp","networkmanager-l2tp-gtk3"
"networkmanager-l2tp","networkmanager-l2tp-gtk4"
"networkmanager-qt5","networkmanager-qt<5.111"
"new-session-manager","non-session-manager"
"newsboat","newsbeuter"
"nextcloud-client","nextcloud-client-cloudproviders"
"nim","nimble"
"nm-connection-editor","libnm-gtk<1.8.18-1"
"ntfs-3g","ntfsprogs"
"nut","network-ups-tools"
"nvidia-utils","nvidia-libgl"
"ocl-icd","libcl"
"oil","osh"
"onednn","intel-dnnl"
"onednn","mkl-dnn"
"onetbb","intel-tbb"
"onetbb","tbb"
